Audit Reference Number,VAR-20241007-TW-05A01-1
,
C3) SOLID WASTE,
Question #,VAP-C3.1
Question Text,Solid waste is managed and disposed of responsibly.
Rating,Conformance
Conclusion,Solid waste is managed and responsibly disposed of.
Data points,"* Site observation: a) Engineering controls are adequate and effective. b) Waste is adequately and effectively categorized. c)
Waste is adequately and effectively handled. d) Waste is adequately and effectively stored. e) Waste is adequately and effectively
moved within a single facility. f) Waste access is controlled. g) Waste is adequately and effectively segregated. h) Waste has
adequately and effectively secondary containment. i) Waste is adequately and effectively ventilated. j) Waste has adequate and
effective fire protection. k) Potential employee exposure methods are adequate and effective.
* Record review: 10 out of 10 waste inventory records covering the period October 2023 to September 2024 are a) Accurate b)
Maintained.
* Record review: 10 out of 10 waste inspection records covering the period October 2023 to September 2024 are a) Accurate. b)
Maintained. c) In place for each waste. d) In place for each point of storage of waste. e) Demonstrating process and
administrative controls are effective.
* Record review: 10 out of 10 copies of waste shipping papers covering the period October 2023 to September 2024 are a)
Accurate. b) Maintained.
* Record review: 10 out of 10 non-government transport and disposal vendors licenses covering the period October 2023 to
September 2024 are a) Current. b) Approved by the local regulatory authorities. c) Certificates by the local regulatory authorities.
d) Maintained for all non-government transport and disposal vendors.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Worker interview: 20 out of 20 workers (including 2 workers who handle waste) confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
C4) AIR EMISSIONS,
Question #,VAP-C4.1
Question Text,Air emissions and the performance of air emission control systems are routinely monitored.
Rating,Conformance
Conclusion,Air emissions and the performance of air emission control systems are routinely monitored.
Data points,"* Site observation: a) Engineering controls are adequate and effective. b) Air emission treatment equipment is well maintained. c)
Air emission treatment equipment is appropriate. d) Air emission treatment equipment is identified. e) Air emissions are treated
prior to discharge in accordance with permit requirements. f) Ozone-depleting substances are clearly labeled.
* Record review: 10 out of 10 maintenance records covering the period October 2023 to September 20243 are a) Accurate. b)
Maintained. c) Showing that air emission treatment equipment is in good working order.
* Record review: 10 out of 10 air treatment equipment evaluation records covering the period October 2023 to September 2024
are a) Accurate. b) Maintained. c) Showing emission treatment equipment efficiency is as required. d) Showing emission
treatment equipment integrity is as required. e) Showing process and administrative controls are effective.
* Record review: 10 out of 10 air treatment equipment inspection records covering the period of October 2023 to September
2024 are a) Accurate. b) Maintained. c) Showing emission treatment equipment efficiency is as required. d) Showing emission
treatment equipment integrity is as required. e) Showing process and administrative controls are effective.
* Record review: Emissions List (Doc. No: Nil, Rev. Nil, Issue date: 15 October 2023) is a) accurate. b) maintained. c) up to
date.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Worker interview: 20 out of 20 workers (including 2 workers who handle air emissions) confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-C4.2
Question Text,Environmental noise levels are within regulatory limits.
Rating,Conformance
Conclusion,Environmental noise levels are within regulatory limits.
Data points,"* Site observation: a) Engineering controls are adequate and effective. b) No excessive boundary noise. c) Boundary noise
control devices are well maintained. d) Boundary noise control devices are appropriate. e) Boundary noise control devices are
identified.
* Record review: 3 out of 3 maintenance records covering the period October 2023 to September 2024 are a) Accurate. b)
Maintained. c) Demonstrate routine preventive maintenance. d) Boundary noise control devices are in good working order.
* Record review: 3 out of 3 Environmental noise monitoring records covering the period of October 2023 to September 2024 are
a) Accurate. b) Maintained. c) Showing boundary noise control is maintained and accurate. d) Showing process and
administrative controls are effective.
* Record review: 3 out of 3 boundary noise control device inspection records covering the period October 2023 to September
2024 are a) Accurate. b) Maintained. c) Showing boundary noise control device efficiency is maintained and accurate. d)
Showing process and administrative controls are effective.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Worker interview: 20 out of 20 workers (including 2 workers who handle noise emissions) confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
C5) WATER MANAGEMENT,
Question #,VAP-C5.1
Question Text,"Adequate and effective process are in place to record, characterize, and monitor water sources, water discharge and control
channels of contamination."
Rating,Conformance
Conclusion,"Adequate and effective process are in place to record, characterize, and monitor water sources, water discharge and control
channels of contamination."
Data points,"* Site observation: a) Engineering controls are adequate and effective. b) Water channels are protected from contamination. c)
Water channels appear free of contamination. d) The source of water is clear. e) Water withdrawal doesn't appear to heavily
impact local waterbodies. f) Water discharge points don't appear to heavily impact local waterbodies. g) Equipment is compatible
with the waste materials being stored. h) Equipment is compatible with the waste materials being transported. i) Industrial
wastewater is treated in accordance with permit requirements. j) sanitary wastewater is treated in accordance with permit
requirements. k) Wastewater treatment system is in operation. l) Wastewater treatment system is well maintained. m) Wastewater
treatment system appears to be operating effectively based on visual inspection. n) Appropriate emergency response equipment
and materials are in place to respond to a possible water channel contamination.
* Record review: 10 out of 10 water and wastewater inventory records covering the period October 2023 to September 2024 are
a) Accurate. b) Maintained.
* Record review: 10 out of 10 wastewater inspection records covering the period October 2023 to September 2024 are a)
Accurate. b) Maintained. c) Available for each wastewater. d) Available for each point of storage and discharge of wastewater. e)
Showing the process and administrative controls are effective. f) Showing wastewater treatment system efficiency is as required.
g) Showing wastewater treatment system integrity is as required.
* Record review: Wastewater manifests and shipping papers are not applicable as no wastewater is collected and charged by
wastewater vendor.
* Record review: Non-government transport and disposal vendors licenses are not applicable as no wastewater is collected and
discharged by wastewater vendor.
* Record review: 10 out of 10 water channel contamination logs covering the period October 2023 to September 2024 are a)
Accurate. b) Maintained. c) Listing all potential contamination sources to water channels. d) Listing all water channel
contamination sources. e) Describing spills and water channel contamination.
* Record review: Spill and water channel contamination log (Doc. No: Nil, Rev. Nil, Issue date: 01 January 2024) states clearly
a) the source of water and b) water channel contamination sources.
* Record review: 10 out of 10 maintenance records covering the period October 2023 to September 2024 are: a) Accurate. b)
Maintained. c) Demonstrate routine preventive maintenance d) Waste water treatment is in good working order.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Worker interview: 20 out of 20 workers (including 2 workers who handle wastewater) confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
C6) ENERGY CONSUMPTION AND GREENHOUSE GAS EMISSIONS,
Question #,VAP-C6.1
Question Text,"Energy consumption and all scopes 1, 2, and significant categories of Scope 3 Greenhouse gas (GHG) emissions are tracked,
documented, and publicly reported against an absolute corporate-wide GHG reduction goal."
Rating,Conformance
Conclusion,"Energy consumption and all scopes 1, 2, and significant categories of Scope 3 Greenhouse gas (GHG) emissions are tracked,
documented, and publicly reported against an absolute corporate-wide GHG reduction goal."
Data points,"* Site observation: a) Engineering controls are adequate and effective. b) There is no significant energy consumption or GHG
emissions at the facility that are not tracked and recorded.
* Record review: 5 out of 5 energy use inventory records covering the period October 2023 to September 2024 are a) Accurate.
b) Maintained. c) Showing all sources of electricity are documented. d) Showing all sources of other energy are documented. e)
Showing all sources of electricity consumption are recorded and accurate by source. e.a) inducing purchased electricity. f)
Showing all sources of other energy consumption is recorded and accurate by source. f.a) including renewable energy use. f.b)
including fuel combusted on-site.
* Record review: 5 out of 5 Scope 1, 2 and 3 GHG emission records covering the period October 2023 to September 2024 are a)
Accurate. b) Maintained. c) Showing all sources of GHG emissions. d) Showing all types of GHG. e) Showing the amount of
emission by relevant period by GHG type. f) with a description of its boundary.
* Record review: 5 out of 5 copies of energy purchase records covering the period October 2023 to September 2024 are a)
Complete. b) Maintained. c) Including all sources of energy used. d) Showing the amount of energy used by energy type. e)
Demonstrating the sources of electricity consumption are recorded and accurate by source.
* Record review: Significant scope 3 GHG category assessment (Doc. No: Nil, Rev. Nil, Issue date: 04 March 2024) states: a)
Significant scope 3 GHG categories. b) Determined through a materiality / similar process. c) Documented. d) Tracked. e) Up-to-
date. f) Includes category 1 (purchased goods and services).
* Record review: Corporate publication (Doc. No: Nil, Rev. Nil, Issue date: 17 April 2024): a) Includes absolute corporate-wide
reduction target b) Includes absolute corporate-wide performance c) is publicly reported d) at least annually.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Supporting evidence reference(s): N/A"
,
C.M.1) RISK ASSESSMENT,
Question #,VAP-C.M.1.1
Question Text,"An adequate and effective environment compliance process is established to monitor, identify, understand and ensure compliance
with applicable laws and regulations and customer requirements."
Rating,Conformance
Conclusion,"An adequate and effective environment compliance process is established to monitor, identify, understand, and ensure
compliance with applicable laws, regulations, and customer requirements."
Data points,"* Record review: ESH regulations identification and inspection management procedure (Doc. No.: B0000-2501, Rev. O, issued
date: 16 October 2023) states a) Compliance procedure: a.a) Is adequate. a.b) Is effective. a.c) Quarterly review: a.d) Including
applicable legal requirements. a.e) Including applicable customer requirements. to a.f.a) Identify. a.f.b) Track. a.f.c) Assess. a.f.d)
Integrate. a.f.e) Implement. a.f.f) Record. b) To ensure timely renewal before the expiration of: b.a) Permits. b.b) Licenses. b.c)
Testing reports.
* Record review: Environmental compliance calendar (Doc. No: Nil, Rev. Nil, Issue date: 19 September 2024) confirms the
compliance calendar: a) Is accurate. b) Is up to date. c) Includes applicable legal requirements. d) Includes applicable customer
requirements. e) Has a reminder system.
* Record review: Environmental compliance register (Doc. No: Nil, Rev. Nil, Issue date: 02 October 2024) confirms the
compliance register: a) Is accurate. b) Is up to date. c) Has summaries of applicable laws and regulations. d) Contains reviews of
the key customer requirements that impact the operations as these related to the RBA code.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-C.M.1.2
Question Text,"An adequate and effective due diligence process is established to identify and assess the most significant actual and potential
environmental risks where the facility caused or contributed to adverse environmental impacts for internal and external
stakeholders (including applicable requirements)."
Rating,Conformance
Conclusion,"An adequate and effective due diligence process is established to identify and assess the most significant actual and potential
environmental risks where the facility caused or contributed to adverse environmental impacts for internal and external
stakeholders (including applicable requirements)."
Data points,"* Record review: stakeholder identification procedure (Doc. No.: Nil, Rev. Nil, issued date: 17 April 2024) states the process
which is a) Adequate. b) effective. for c) internal stakeholders. d) external stakeholders. for environment.
* Record review: Internal and external stakeholder list for environment (Doc. No: Nil, Rev. Nil, Issue date: 17 April 2024) which
includes all identified internal and external stakeholders including at a minimum: a) Direct and indirect workers. b) No young
workers. c) No foreign migrant workers. No internal migrant workers. d) Worker representatives. e) Staff functions. f) On-site
service providers. g) Suppliers. h) Customers. i) Stakeholders immediately neighboring the auditee.
* Record review: ESH risk assessment procedure (Doc. No.: B0000-2501, Rev. O, issued date: 16 October 2023) states: a) risk
assessment procedure: a.a) Adequate. a.b) Effective. a.c) Each identified risk has an action to minimize such risk through the
Hierarchy of Controls. a.d) identify the most significant risks. a.e) a documented gated process, demonstrating that each
hierarchy level has been fully evaluated and reasons why it could not address the risk fully before proceeding to the next
hierarchal level. a.e.a) including applicable legal requirements. a.e.b) including applicable customer requirements. a.f) The risk
assessment is updated when there is a Significant Change. b) Scope of the risk assessment includes: b.a) Every task. b.b) Every
site operation/process. b.c) Every Physical location. b.d) Every environmental medium. b.e) Greenhouse Gas impact. b.f) Ozone-
depleting substances (ODS) impact. b.g) Every chemical or material used and exposure to multiple chemicals. b.h.c) All
identified internal and external stakeholders b.h.c.a) Direct and indirect workers. b.h.c.b) No young workers. b.h.c.c) No foreign
migrant workers. No internal migrant workers. b.h.c.d) Worker representatives b.h.c.e) Staff functions b.h.c.f) On-site service
providers b.h.c.g) Suppliers b.h.c.h) Customers b.h.c.i) Stakeholders immediately neighboring the auditee.
* Record review: 5 out of 5 environmental risk assessments covering each month of the period October 2023 to September 2024
demonstrate a) Are accurate. b) Are complete. c) Are up-to-date. d) Each identified risk has an action to minimize such risk
through the Hierarchy of Controls. e) The environmental risk assessments identify the most significant risks: e.a) including
applicable legal requirements. e.b) including applicable customer requirements.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Supporting evidence reference(s): N/A"
,
C.M.2) CONTROL PROCESSES,
Question #,VAP-C.M.2.1
Question Text,"Environment responsibilities and authorities are adequately and effectively defined and assigned for all employee levels (senior
managers to workers) for the implementation of management systems, and for compliance with laws, regulations, and codes."
Rating,Conformance
Conclusion,"Environment responsibilities and authorities are adequately and effectively defined and assigned for all employee levels (senior
managers to workers) for the implementation of management systems, and for compliance with laws, regulations, and codes."
Data points,"* Record review: ESH management system manual (Doc. No.: B0000-0040, Rev. T, issued date: 06 September 2024) confirms a
senior representative is assigned responsibility: a) To ensure compliance with laws and regulations. b) To ensure compliance with
the requirements of the RBA. c) Is authorized to implement: c.a) programs. c.b) process actions. c.c) corrective actions as needed
for regulatory compliance and RBA conformance. It confirms a) Responsibilities of each organizational level are recorded. b)
Authorities of each organizational level are recorded. c) For normal situations. d) For emergency situations. e) A specific
individual or individuals responsible for all aspects of: e.a) Hazardous materials. e.b) Waste. e.c) Air emission treatment is not
required. e.d) Environmental noise. e.e) Wastewater. e.f) Energy and GHG. e.g) Ozone-depleting substances.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-C.M.2.2
Question Text,Adequate and effective environment policies and control processes are established.
Rating,Conformance
Conclusion,Adequate and effective environmental policies and control processes are established.
Data points,"* Record review: ESH program goals and objectives management procedure (Doc. No.: B0000-2502, Rev. R, issued date: 23
October 2023) a) Is adequate. b) Is effective. c) Requires the reduction and elimination of ozone-depleting substance (ODS). d)
Requires the reduction and elimination of energy and GHG. e) Requires the reduction and elimination of the use of natural
resources. f) Requires the reduction and elimination of raw materials and resulting waste.
* Record review: Environmental Responsibility Policy (Doc. No: Nil, Rev. Nil, Issue date: August 2024) states the details of the
programs to conserve the use of natural resources.
* Record review: Waste disposal management procedure (Doc. No: B0000-2506, Rev. R, Issue date: 27 May 2024) a) Is
adequate. b) Is effective. c) Defines the reception of waste within the facility. d) Defines the storage of waste within the facility.
e) Defines the dispensing of waste within the facility. f) Defines the use of waste within the facility. g) Defines the disposal of
waste. h) Is specific for each hazardous waste.
* Record review: Greenhouse gas inventory management procedure (Doc. No: B0000-2514, Rev. C, Issue date: 22 February
2024) a) Is adequate. b) Is effective. c) for each ozone-depleting substance. d) includes identification. e) includes labeling. f)
includes safe disposal. g) Ozone depleting substances record keeping has: g.a) Appropriate retention (on and off site). g.b)
Appropriate levels of access to ensure privacy. g.c) Conforming to legal and customer requirements.
* Record review: ESH management system manual (Doc. No.: B0000-0040, Rev. T, issued date: 06 September 2024) a) Is
adequate. b) Is effective. c) Each of the policy requirements has an effective implementation and control process. c.a)
Demonstrates that each hierarchy level has been fully evaluated. c.b) States the reasons why it could not address the risk fully
before proceeding to the next hierarchy level. d) Requires a preventive maintenance process for all treatment equipment for each
environmental medium. e) Requires an investigation of each environmental incident resulting in a preventive and corrective
action plan. f) Defines the adequate and effective emergency response process with clearly defined steps and roles and
responsibilities.
* Record review: 10 out of 10 environmental records covering the period October 2023 to September 2024 demonstrate a)
Appropriate retention on-site. b) Appropriate retention off-site. c) Appropriate levels of access to ensure privacy. d) Conforming
to legal requirements. e) Conforming to customer requirements.
* Record review: 5 out of 5 Risk control reports covering the period October 2023 to September 2024 a) Are accurate. b) Are
complete. c) Are update to date. d) Demonstrate the effectiveness controls are evaluated on a regular basis. e) Show procedural
controls are recorded. f) Where controls are not yet in place, an implementation plan (with owners and due date) is in place and
on track.
* Record review: 5 out of 5 environment controls effectiveness evaluations covering the period October 2023 to September 2024
demonstrate controls are evaluated on a regular basis.
* Record review: 3 out of 3 Environmental mitigation plan covering the period October 2023 to September 2024 a) Are adequate.
b) Are complete. c) Are update to date. d) Identify all significant actual and potential risks. d.a) Through the Hierarchy of
controls. d.b) Improvement objectives in a documented gated process. d.c) Each hierarchy level has been fully evaluated and
reasons why it could not address the risk fully before proceeding to the next hierarchal level. d.d) The status of implementation
and resulting impact reduction including feedback of the affected internal and external stakeholders.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-C.M.2.3
Question Text,"An adequate and effective environment training process is established for all managers/workers on all policy/process/job related
aspects and performance targets."
Rating,Conformance
Conclusion,"An adequate and effective environment training process is established for all managers/workers on all policy/process/job-related
aspects and performance targets."
Data points,"* Record review: Instruction on ESH training (Doc. No.: B3600-0012, Rev. U, issued date: 14 June 2024) a) Is adequate. b) Is
effective. c) For workers. d) For managers. e) Includes a new employee orientation plan. f) Ensures training is provided to all
workers prior to the beginning of work. g) Workers responsible for storage, clean up or disposal of hazardous waste and waste
receive specialized training.
* Record review: Environmental training needs analysis (Doc. No: Nil, Rev. Nil, Issue date: 31 August 2024) confirms a)
Minimum training topics include: a.a) Reduction programs. a.b) Hazardous waste handling, storage, and disposal. a.c) Solid
waste handling, storage and disposal. a.d) Air emissions and air emission control systems. a.e) Water use, discharge, and internal
water channel contamination protection. a.f) Storage and disposal. a.g) GHG/ Energy use, reduction, and maintaining energy and
fuel-consuming operations.
* Record review: New employee orientation plan (Doc. No: Nil, Rev. Nil, Issue date: 12 August 2024) confirms topics identified
in the training needs analysis are included.
* Record review: Environmental training plan (Doc. No: Nil, Rev. Nil, Issue date: 30 May 2024) confirms a) Topics identified in
the training needs-analysis are included. b) Training frequency is adequate. c) Training is provided to all workers prior to the
beginning of work.
* Record review: 10 out of 10 environmental training materials covering each month of the period October 2023 to September
2024 confirm each training on the training plan have adequate training materials.
* Record review: 10 out of 10 environmental training records covering each month of the period October 2023 to September
2024 confirm each training on the training plan have adequate training records for all attendees.
* Record review: 10 out of 10 environmental training effectiveness evaluations covering the period October 2023 to September
2024 confirm each training on the training plan have adequate training verification records for all attendees.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Worker interview: 20 out of 20 workers (no learners in the facility) confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
C.M.3) COMMUNICATIONS,
Question #,VAP-C.M.3.1
Question Text,"An adequate and effective ongoing two-way communication process with workers, internal and external stakeholders, where
relevant or necessary, is established to obtain feedback on operational environmental practices and conditions and to foster
continuous improvement."
Rating,Conformance
Conclusion,"An adequate and effective ongoing two-way communication process with workers, internal and external stakeholders, where
relevant or necessary, is established to obtain feedback on operational environmental practices and conditions and to foster
continuous improvement."
Data points,"* Site observation: a) Feedback channels are clearly communicated and visible. b) Environmental communication clearly posted
in the facility in a location identifiable and accessible by workers. c) Clear Hazard signage. d) Clear hazard information is
available at the point of use.
* Record review: ESH management system consulting and communicating procedure (Doc. No.: B0000-2504, Rev. M, issued
date: 23 October 2023) a) Is adequate. b) Is effective. c) Is effective ongoing d) Is two-way communication with e) Minimum
internal and external stakeholders. e.a) Direct and indirect workers. e.b) No young workers. e.c) No foreign migrant workers. No
internal migrant workers. e.d) Worker representatives. e.e) Staff functions. e.f) On-site service providers. e.g) Suppliers. e.g.a)
Correspondence to supplier management. e.h) Customers. e.i) Stakeholders immediately neighboring the auditee. e.j) Public.
e.j.a) Publicly report a corporate-wide GHG footprint. e.j.b) The value represents annual emissions.
* Record review: 10 out of 10 communications to internal and external stakeholders covering the period October 2023 to
September 2024 confirm requirements of code implementation have been communicated to at least the following internal and
external stakeholders: a) Direct and indirect workers. b) No young workers. c) No foreign migrant workers. No internal migrant
workers. d) Worker representatives. e) Staff functions. f) On-site service providers. g) Suppliers. h) Customers. i) Stakeholders
immediately neighboring the auditee. j) The public.
* Record review: 10 out of 10 communication effectiveness evaluations covering the period October 2023 to September 2024
demonstrate effectiveness verification is done regularly.
* Record review: 10 out of 10 input and feedback records covering the period October 2023 to September 2024 demonstrate
input and feedback from workers is adequately received.
* Record review: GHG Report (Doc. No: Nil, Rev. Nil, Issue date: 17 April 2024) a) Represents annual emissions. b) Contains
corporate-wide GHG footprint. c) Includes total scopes 1 GHG footprint. d) Includes total scopes 2 GHG footprint. e) Includes
scope 3 GHG footprint for the identified significant scope 3 categories. f) The value shall represent annual emissions.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-C.M.3.2
Question Text,"An adequate and effective process is established to anonymously report environmental grievances confidentially without fear of
reprisal or intimidation."
Rating,Conformance
Conclusion,"An adequate and effective process is established to anonymously report environmental grievances confidentially without fear of
reprisal or intimidation."
Data points,"* Site observation: a) Grievance channels are clearly communicated. b) Internal communication of the grievance mechanism is
visible and in a language the workers can understand.
* Record review: Company Internal Grievance Procedure (Doc. No.: B9920-1611, Rev. G, issued date: 26 October 2018) a) Is
adequate. b) Is effective. c) Ensures grievances can be reported anonymously without fear of reprisal. d) Available for internal
stakeholders. e) Available for external stakeholders. f) Clear grievance channels so reporting is encouraged and comfortable. g)
Workers shall be encouraged to raise environmental concerns.
* Record review: 10 out of 10 environmental concern logs covering the period October 2023 to September 2024 demonstrate
grievances from stakeholders are adequately received.
* Record review: 10 out of 10 environmental concern investigation records covering the period October 2023 to September 2024
demonstrate a) The validity of any grievance is promptly investigated. b) Each valid grievance has an action plan.
* Record review: 10 out of 10 communications to managers and workers covering the period October 2023 to September 2024
confirm written information on how to report a grievance is clearly communicated.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
C.M.4) PERFORMANCE REVIEW AND CONTINUOUS IMPROVEMENT,
Question #,VAP-C.M.4.1
Question Text,An adequate and effective environment management performance review and continuous improvement process is established.
Rating,Conformance
Conclusion,An adequate and effective environmental management performance review and continuous improvement process is established.
Data points,"* Record review: Organizational management procedure for ESH and risk management committee (Doc. No.: B0000-2512, Rev.
G, issued date: 02 September 2024) a) Is adequate. b) Is effective. c) Defines the annual review process: c.a) By senior
management. c.b) Of the management system. c.c) Of the performance. d) Reduction programs are structured with roles and
responsibilities. e) Reduction programs do not harm workers or entail excessive cost. f) Includes a materiality assessment and
updated when changes in machinery, process or materials used or facility occur. g) Mandates additional action plans if indicator,
objective or target is off track.
* Record review: ESH program goals and objectives management procedure (Doc. No.: B0000-2502, Rev. R, issued date: 23
October 2023) a) Is adequate. b) Is effective. c) indicators. d) objectives. e) targets. f) Scope 1 and Scope 2 GHG corporate-wide
reduction target. g) For each material emission and discharge of pollutants, waste and natural resources: g.a) Timeline is clearly
defined. g.a.a) Target span is a minimum of 2 years. g.a.b) Annual targets are incremental to a long-term goal. g.b) Time Period
is forward looking. g.c) Base date: 1 January 2024. g.d) Target date: 31 December 2024. g.e) Baseline: Unit electricity
consumption less than 24.61 MKWH/layer. g.f) Targeted improvement value: 24.61 MKWH/layer. h) Ozone depleting
substances (ODS) impact.
* Record review: 5 out of 5 environmental performance action plans covering the period October 2023 to September 2024 exist
for each indicator, objective or target that is off-track.
* Record review: Environmental Performance target tracking form (Doc. No: Nil, Rev. Nil, Issue date: 01 October 2024)
demonstrates each indicator, objective and target has progress reported regularly.
* Record review: Environmental materiality assessment report (Doc. Nil, Rev. Nil, Issue date: 14 May 2024) a) is based on each
environmental aspect of the operation. b) is current. c) is adequate. d) is updated when changes in machinery, process or
materials used or facility.
* Record review: 5 out of 5 environmental system evaluation reports covering the period October 2023 to September 2024
confirm regular Control effectiveness verification for a) Control effectiveness. b) Training. c) Every program. d) Communication.
e) Grievances. f) Environmental concerns.
* Record review: 2 out of 2 System review meeting minutes covering the period October 2023 to September 2024 confirm a)
Management reviews the system regularly and include b) Meeting presentation materials/analysis/data c) Formal target,
indicator, and objective tracking d) Regular progress reporting e) Evaluation reports for (at least) e.a) Control effectiveness e.b)
Training e.c) Communication e.d) Grievances.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-C.M.4.2
Question Text,"An adequate and effective environmental self-audit process is established to assess conformance with the RBA Code and
customer requirements periodically."
Rating,Conformance
Conclusion,"An adequate and effective environmental self-audit process is established to assess conformance with the RBA Code and
customer requirements periodically."
Data points,"* Record review: ESH management system internal audit procedure (Doc. No.: B0000-2511, Rev. N, issued date: 07 August
2024) a) Is adequate. b) Is effective. c) Mandates periodically assess conformance with: c.a) Applicable regulatory requirements.
c.b) RBA Code requirements. c.c) Own policies, standards and management system. c.d) Other requirements to which the facility
subscribes. d) States audit findings are reviewed by senior management.
* Record review: 2 out of 2 environmental self-audits reports covering the period October 2023 to September 2024 demonstrate
a) Self-audits are performed regularly. b) Audit findings are reviewed by senior management. c) no non-conformance on
environment in this audit.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-C.M.4.3
Question Text,An adequate and effective environmental corrective action process is established to rectify and close non-conformances.
Rating,Conformance
Conclusion,An adequate and effective environmental corrective action process is established to rectify and close non-conformances.
Data points,"* Record review: CAPA for incidents, false alarms and non-conformity operation procedure (Doc. No.: B0000-2509, Rev. L,
issued date: 30 September 2024) a) Is adequate. b) Is effective. It contains: c) Corrective action plans and tracking tables. d)
Additional actions are taken when corrective action is off-track. e) A demonstrated link between the CAP and the performance
management objectives and targets. f) All actions must be verifiably closed. g) Closure of action items is confirmed by a
management representative after verification by the appropriate person. h) Preventive/corrective actions plan for past spills,
contamination, and environmental incidents. i) If any non-conformance is confirmed a recorded corrective action is implemented.
* Record review: 2 out of 2 environmental self-audits reports covering the period October 2023 to September 2024 demonstrate
the non-conformance findings are recorded.
* Record review: 2 out of 2 environmental government inspection reports covering the period October 2021 to September 2024
demonstrate the copies of any regulatory citations/violation notices received are available for review.
* Record review: 3 out of 3 environmental corrective action plans covering the period October 2023 to September 2024
demonstrate a) Self-audit findings have a corrective action plan for each finding. b) government inspection records have not
identified any non-conformances findings. c) the communication with the agencies are available for review. d) Off-track
indicators, objectives and targets have a corrective action plan. e) Management system review findings have a correction action
plan. f) Closure verification with mgmt. confirmation exist for each corrective action plan item.
* Management interview: Ms. Pei-Hui LIN / Deputy Manager and Ms. Tzu-Yi CHEN / Principal Engineer confirm the audit
observations.
* Supporting evidence reference(s): N/A"
,
D) ETHICS,
D1) BUSINESS INTEGRITY AND NO IMPROPER ADVANTAGE,
Question #,VAP-D1.1
Question Text,"No identified risk or evidence of bribes or obtaining undue or improper advantage being promised, offered, authorized, given or
accepted."
Rating,Conformance
Conclusion,"No identified risk or evidence of bribes or obtaining undue or improper advantage being promised, offered, authorized, given or
accepted."
